generation, fitness, rule
136, 5.500100, 265420260310312133005406640014616502466605146161200126113266603303461361204623133415230146020201211214236655162633123215411621245265026365455345205602014103054321442640660261425402454455543512224114502411220456451353102505325640163066163036030
137, 5.600100, 263424260360116536420060340014616001412002462166200126110266600303065366204123133415230146020206211244236625662633223215411625245265026365455345205602016103054321444640660261424402454455543512224114503431226456451056106205521640163635463036030
138, 5.300100, 265423250210312134135456630243616521466012505166000126110266600303062366204123533416230146520452411214236625362633123215431625245465025365465645215504216105154521440020460261424402454455543512224114543431226456451055406005521640163632443336030
139, 5.500100, 265324260360116506020060340014656501412002462166200126110266650203561536104124133216230146060436211244236625662633223215411625245465025325445345203502016135004521442040660263425402454455545552224614503431226456451056106005521640163635463036033
140, 5.300100, 265423250610312134135456630214616523466012105166000126110266600603065366204123133416330146020401211214236655062633123215411625245465025325445345203502016135004521442040660261425402454455543552224614202461220456451353104505325640163635463036633
141, 5.300100, 263424260360116536420060340014616501412005462166200126110266600353065366254623133436230146023401211214236655062630123215411625240465025365055344203502066135054521440010660261424405454455543552224614202461220456451353102505325640163065463036663
142, 5.900100, 265420260310312133005406630214516521466605505166000126110206600303065366261623133436230146023401211214236625362633123215413625245405025325445345203502016135054121442030660263425402453455503502225614202461220456451353104505325640163635463036033
143, 5.200100, 265324260360116106020060340015656501412002462166200126110266650203065366204123133416330146060401211244236625662633223215411625245265026365455345205602016103054321444640660261425401454455543512224114503461220456451353100505325640463066363036030
144, 5.000100, 263424260360116536420060630214516521466605505166000126110246600002065366204123133416330146020401211215236625062633123215411625245435025325445345253502016135054121442040660263455402453455543512224114512164220456451056106005325640163065463036663
145, 4.800100, 265420260310310133205406630214516521460605505166000126110266650203065366201623133436430146023401411214236625562633125215413625245405025325445345203502016135054121444033660263425402453455503502224114503461220456451353100505325640463066163036030
146, 5.300100, 265420260310310133205406630214516521460605505166000126110266650203065366204623133436230146023401211214336655062630123215411625240465026365455345205602016103054321444640660261425401454455543512224114503461221456451056106001520640163615463036534
147, 5.400100, 265434260360116506026006101242516521466012106066030112110206600303065366402623133436430146023401411214236625362633123215413625245405025325455345205602016101054321414640660261424505454455545552224614503431220456451353100505325640463066163036030
148, 5.400100, 265434264360116506020006101242516521466012106066000112110206600303065366201623133436230146060436211244236625662633223215411625240465025365055344203502566101054321414640660261424505454455543512224114503461220456451353100505325640463066163036030
149, 5.400100, 265324260360116506020160340014616521466012106066000112210206600303065366201623133436233146023401411214336625322633123255413625245405026365455345205602016101054321414640660261424505453455543512224114202461220456451352104505325645163635463036635
